,property,location,price,area,furnished status,additional details
0,4 BHK Villa in Urbanrise Paradise On Earth,"Gangasandra, Bangalore",3.68 Cr,3009,Under Construction Construction Status,Possession by Jan 2026New
1,3 BHK Villa in Roja Soul Garden,"Chandapura, Bangalore",1.57 Cr,2176,Under Construction Construction Status,Possession by May 2025New
2,3 BHK Villa in Roja Soul Garden,"Chandapura, Bangalore",1.29 Cr,1887,Under Construction Construction Status,Possession by May 2025New
3,3 BHK Apartment in Puravankara BLUBELLE,"Magadi, Bangalore",2.15 Cr,1434,Under Construction Construction Status,Possession by May 20272 BathroomsNew
4,3 BHK Apartment in Puravankara BLUBELLE,"Magadi, Bangalore",2.45 Cr,1630,Under Construction Construction Status,Possession by May 20273 BathroomsNew
5,2 BHK Apartment in Vigor Embassy East Avenue,"Hoodi, Bangalore",1.78 Cr,1155,Under Construction Construction Status,Possession by Sep 2028New
6,3 BHK Apartment in Vigor Embassy East Avenue,"Hoodi, Bangalore",2.64 Cr,1710,Under Construction Construction Status,Possession by Sep 20283 BathroomsNew
7,2 BHK Apartment in Vigor Embassy East Avenue,"Hoodi, Bangalore",2.18 Cr,1416,Under Construction Construction Status,Possession by Sep 2028New
8,2 BHK Apartment in Mahaveer Celesse,"Yelahanka, Bangalore",89.82 L,1214,Ready to move Construction Status,3 - 4 years oldNew
9,2 BHK Apartment in Mahaveer Celesse,"Yelahanka, Bangalore",87.38 L,1181,Ready to move Construction Status,3 - 4 years oldNew
10,3 BHK Apartment in Mahaveer Celesse,"Yelahanka, Bangalore",1 Cr,1365,Ready to move Construction Status,3 - 4 years oldNew
11,2 BHK Apartment in Mahaveer Celesse,"Yelahanka, Bangalore",86.64 L,1171,Ready to move Construction Status,3 - 4 years oldNew
12,3 BHK Apartment in Mahaveer Celesse,"Yelahanka, Bangalore",1.18 Cr,1599,Ready to move Construction Status,3 - 4 years old3 BathroomsNew
13,3 BHK Apartment in Mahaveer Celesse,"Yelahanka, Bangalore",1.03 Cr,1400,Ready to move Construction Status,3 - 4 years oldNew
14,4 BHK Apartment in SNN Estates Felicity,"Jakkur, Bangalore",3.18 Cr,1890,Under Construction Construction Status,Possession by Dec 2028New
15,2 BHK Apartment in SNN Estates Felicity,"Jakkur, Bangalore",1.73 Cr,1055,Under Construction Construction Status,Possession by Dec 20282 BathroomsNew
16,3 BHK Apartment in SNN Estates Felicity,"Jakkur, Bangalore",2.33 Cr,1380,Under Construction Construction Status,Possession by Dec 20282 BathroomsNew
17,2 BHK Apartment in SNN Estates Felicity,"Jakkur, Bangalore",1.85 Cr,1120,Under Construction Construction Status,Possession by Dec 20282 BathroomsNew
18,4 BHK Apartment in SNN Estates Felicity,"Jakkur, Bangalore",3.28 Cr,1950,Under Construction Construction Status,Possession by Dec 2028New
19,3 BHK Apartment in SNN Estates Felicity,"Jakkur, Bangalore",2.73 Cr,1620,Under Construction Construction Status,Possession by Dec 2028New
20,3 BHK Apartment in Bhartiya Nikoo Homes 5,"Thanisandra, Bangalore",2.16 Cr,1800,Under Construction Construction Status,Possession by Nov 2026New
21,4 BHK Apartment in Bhartiya Nikoo Homes 5,"Thanisandra, Bangalore",3 Cr,2500,Under Construction Construction Status,Possession by Nov 2026New
22,3 BHK Apartment in Bhartiya Nikoo Homes 5,"Thanisandra, Bangalore",2.62 Cr,2188,Under Construction Construction Status,Possession by Nov 2026New
23,3 BHK Apartment in Bhartiya Nikoo Homes 5,"Thanisandra, Bangalore",1.92 Cr,1600,Under Construction Construction Status,Possession by Nov 2026New
24,2 BHK Apartment in Neni Sathvik Signature,"Mahadevpura, Bangalore",73.09 L,1179,Under Construction Construction Status,Possession by Aug 2025New
25,2 BHK Apartment in Neni Sathvik Signature,"Mahadevpura, Bangalore",74.77 L,1206,Under Construction Construction Status,Possession by Aug 2025New
26,3 BHK Apartment in Neni Sathvik Signature,"Mahadevpura, Bangalore",89.83 L,1449,Under Construction Construction Status,Possession by Aug 2025New
27,2 BHK Apartment in Neni Sathvik Signature,"Mahadevpura, Bangalore",75.33 L,1215,Under Construction Construction Status,Possession by Aug 2025New
28,3 BHK Apartment in Neni Sathvik Signature,"Mahadevpura, Bangalore",88.16 L,1422,Under Construction Construction Status,Possession by Aug 2025New
29,3 BHK Apartment in Neni Sathvik Signature,"Mahadevpura, Bangalore",84.25 L,1359,Under Construction Construction Status,Possession by Aug 2025New
30,3 BHK Apartment in SS Sathvik Paradise,"Mahadevapura, Bangalore",98.28 L,1404,Under Construction Construction Status,Possession by Jan 2025New
31,3 BHK Apartment in Neni Sathvik Signature,"Mahadevpura, Bangalore",88.72 L,1431,Under Construction Construction Status,Possession by Aug 2025New
32,3 BHK Apartment in SS Sathvik Paradise,"Mahadevapura, Bangalore",1.01 Cr,1449,Under Construction Construction Status,Possession by Jan 2025New
33,3 BHK Apartment in Neni Sathvik Signature,"Mahadevpura, Bangalore",92.62 L,1494,Under Construction Construction Status,Possession by Aug 2025New
34,3 BHK Apartment in SS Sathviks Nandanam,"Mahadevapura, Bangalore",1.08 Cr,1440,Under Construction Construction Status,Possession by Nov 2025New
35,2 BHK Apartment in SS Sathviks Nandanam,"Mahadevapura, Bangalore",88.42 L,1179,Under Construction Construction Status,Possession by Nov 2025New
36,3 BHK Apartment in SS Sathviks Nandanam,"Mahadevapura, Bangalore",1.12 Cr,1503,Under Construction Construction Status,Possession by Nov 2025New
37,2 BHK Apartment in SS Sathviks Nandanam,"Mahadevapura, Bangalore",85.72 L,1143,Under Construction Construction Status,Possession by Nov 2025New
38,3 BHK Apartment in SS Sathviks Nandanam,"Mahadevapura, Bangalore",1.01 Cr,1350,Under Construction Construction Status,Possession by Nov 2025New
39,2 BHK Apartment in SS Sathviks Nandanam,"Mahadevapura, Bangalore",87.07 L,1161,Under Construction Construction Status,Possession by Nov 2025New
40,4 BHK Apartment in Bhartiya Nikoo Homes 5,"Thanisandra, Bangalore",2.76 Cr,2300,Under Construction Construction Status,Possession by Nov 2026New
41,2 BHK Apartment in Bhartiya Nikoo Homes 5,"Thanisandra, Bangalore",1.62 Cr,1354,Under Construction Construction Status,Possession by Nov 2026New
42,2 BHK Apartment in Bhartiya Nikoo Homes 5,"Thanisandra, Bangalore",1.3 Cr,1090,Under Construction Construction Status,Possession by Nov 2026New
43,2 BHK Apartment in Bhartiya Nikoo Homes 5,"Thanisandra, Bangalore",1.4 Cr,1170,Under Construction Construction Status,Possession by Nov 2026New
44,2 BHK Apartment in Bhartiya Nikoo Homes 5,"Thanisandra, Bangalore",1.32 Cr,1104,Under Construction Construction Status,Possession by Nov 2026New
45,4 BHK Apartment in Bhartiya Nikoo Homes 5,"Thanisandra, Bangalore",3.06 Cr,2553,Under Construction Construction Status,Possession by Nov 2026New
46,3 BHK Apartment in Bhartiya Nikoo Homes 5,"Thanisandra, Bangalore",2.19 Cr,1826,Under Construction Construction Status,Possession by Nov 2026New
47,3 BHK Apartment in Bhartiya Nikoo Homes 5,"Thanisandra, Bangalore",2.03 Cr,1693,Under Construction Construction Status,Possession by Nov 2026New
