,property,location,price,area,furnished status,additional details
0,5 BHK Apartment in Keya Life By The Lake,"Jakkur, Bangalore",5.29 Cr,4520,Ready to move Construction Status,2 - 3 years oldNew
1,2 BHK Apartment in Mantri Serenity,"Subramanyapura, Bangalore",94.93 L,1040,Ready to move Construction Status,2 - 3 years oldNew
2,Residential Plot in Vinyasa Greenland,"Bidadi, Bangalore",28.63 L,1146,New New/Resale,0 - 1 year old
3,2 BHK Apartment in Ma Sarada Upavan,"Bommasandra, Bangalore",63.93 L,870,Under Construction Construction Status,Possession by Aug 2024New
4,2 BHK Apartment in Elegant Tranquility,"Rajarajeshwari Nagar, Bangalore",95.21 L,1045,Under Construction Construction Status,Possession by Jul 2025New
5,2 BHK Apartment in DSR The Courtyard,"Gunjur, Bangalore",97.59 L,1113,Under Construction Construction Status,Possession by May 2026New
6,2 BHK Apartment in Sapthagiri Sandalwoods,"Krishnarajapura, Bangalore",95.38 L,1255,Ready to move Construction Status,0 - 1 year oldNew
7,3 BHK Apartment in Nava Vajra,"Horamavu, Bangalore",99.7 L,1505,Under Construction Construction Status,Possession by Mar 2028New
8,Residential Plot in JR Eastfields,"Hoskote, Bangalore",85.71 L,1650,New New/Resale,Possession by Aug 2026
9,3 BHK Apartment in Srivari Forest Breeze,"Uttarahalli, Bangalore",1.06 Cr,1515,Under Construction Construction Status,Possession by Sep 2024New
10,2 BHK Apartment in CasaGrand Casablanca,"Mallasandra Hoskote, Bangalore",84 L,1265,Under Construction Construction Status,Possession by May 2027New
11,2 BHK Apartment in VSR Sun Lavender,"Kada Agrahara, Bangalore",51.7 L,1140,Under Construction Construction Status,Possession by Nov 2024New
12,2 BHK Apartment in Trifecta TRIFECTA VANTO PHASE 1,"Kodathi, Bangalore",1.14 Cr,1230,Under Construction Construction Status,Possession by Jul 2027New
13,4 BHK Villa in Sattva Springs,"Badamanavarathekaval, Bangalore",5.16 Cr,4156,Under Construction Construction Status,Possession by Sep 2027New
14,2 BHK Apartment in RRL Palacio,"Sarjapur, Bangalore",80.92 L,1245,Under Construction Construction Status,Possession by Mar 2025New
15,Residential Plot in APPLE APPLE CITY,"S Bingipura, Bangalore",67.5 L,1500,New New/Resale,0 - 1 year old
16,2 BHK Apartment in SLV Icon,"Yelahanka, Bangalore",76.28 L,1045,Under Construction Construction Status,Possession by Aug 2024New
17,2 BHK Apartment in Trishul Happy Homes Arghya,"Electronic City Phase 1, Bangalore",49.36 L,1080,Under Construction Construction Status,Possession by May 2025New
18,2 BHK Apartment in Nagarjuna The Avaas,"Devarachikkana Halli, Bangalore",75 L,986,Ready to move Construction Status,0 - 1 year oldNew
19,3 BHK Apartment in Spectra Parijatha,"Brookefield, Bangalore",2.35 Cr,1740,Under Construction Construction Status,Possession by Aug 2028New
20,3 BHK Apartment in Neobuild Mana Skandas The Right Life,"Kachamaranahalli, Bangalore",1.84 Cr,1942,Under Construction Construction Status,Possession by Mar 2029New
21,4 BHK Villa in Preeti Preeti Iksa Ville,"Yelahanka, Bangalore",2.21 Cr,2407,Under Construction Construction Status,Possession by Sep 2025New
22,Residential Plot in Sai Srushti Sangamam,"Hosur, Bangalore",66.58 L,1800,New New/Resale,9 - 10 years old
23,3 BHK Apartment in JP JP LAVENDER,"Hoskote, Bangalore",75.33 L,1370,Under Construction Construction Status,Possession by Dec 2026New
24,4 BHK Villa in Theme Signature One,"Devanahalli, Bangalore",2.8 Cr,3195,Under Construction Construction Status,Possession by Apr 20274 BathroomsNew
25,4 BHK Apartment in SB Skanda Lake Front,"Uttarahalli, Bangalore",1.8 Cr,1895,Ready to move Construction Status,2 - 3 years oldNew
26,3 BHK Apartment in Sohan Exotica,"Kodigehalli, Bangalore",1.39 Cr,1642,Under Construction Construction Status,Possession by Feb 2025New
27,4 BHK Villa in JRC JRC PALLADIO,"Sarjapur, Bangalore",3.36 Cr,3853,Under Construction Construction Status,Possession by Nov 2025New
28,3 BHK Villa in Roja Soul Garden,"Chandapura, Bangalore",1.49 Cr,2164,Under Construction Construction Status,Possession by May 2025New
29,3 BHK Apartment in United Sai Green Woods,"Kadugodi, Bangalore",1.1 Cr,1375,Under Construction Construction Status,Possession by Feb 2025New
30,3 BHK Apartment in Shree Adithya Pride,"Kaggadasapura, Bangalore",78.9 L,1315,Under Construction Construction Status,Possession by Aug 2024New
31,3 BHK Apartment in Renaissance Reserva,"Jalahalli, Bangalore",1.41 Cr,1545,Ready to move Construction Status,0 - 1 year oldNew
32,3 BHK Apartment in Sai Balaji Sai Balaji Royal,"Singasandra, Bangalore",68.18 L,1240,Ready to move Construction Status,0 - 1 year oldNew
33,Residential Plot in Avanika Shri Krishna Oasis,"Devanahalli, Bangalore",58 L,4000,New New/Resale,Possession by Mar 2025
34,Residential Plot in Equinox Rain Drop,"Devanahalli, Bangalore",36 L,1200,New New/Resale,0 - 1 year old
35,Residential Plot in Maanya Tulips,"Devanahalli, Bangalore",45.64 L,1144,New New/Resale,Possession by Dec 2025
36,Residential Plot in Karnataka Gnana Kuteera Phase 2,"Devanahalli, Bangalore",19.5 L,1500,New New/Resale,Possession by Nov 2027
37,Residential Plot in Rainbow Vistas,"Kanakapura Road Beyond Nice Ring Road, Bangalore",36.36 L,1212,New New/Resale,Possession by Jul 2025
38,3 BHK Apartment in Windsor Troika,"Begur, Bangalore",1.57 Cr,1745,Ready to move Construction Status,5 - 6 years oldNew
