,Locality,Region
0,Devinagar,Peripheral areas
1,Kalena Agrahara,South Bangalore
2,Boovanahalli,South Bangalore
3,Bannerghatta,South Bangalore
4,Soundarya Layout,South Bangalore
5,Kartik Nagar,Peripheral areas
6,Kithiganur,West Bangalore
7,Sidedahalli,North Bangalore
8,Yamare,Peripheral areas
9,Yemalur,East Bangalore
10,Kodihalli,South Bangalore
11,Murugeshpalya,East Bangalore
12,Kannamangala,West Bangalore
13,Ramagondanahalli,South Bangalore
14,ITPL,East Bangalore
15,Babusa Palya,South Bangalore
16,Narayanaghatta,West Bangalore
17,New Thippasandra,East Bangalore
18,JP Nagar Phase 5,South Bangalore
19,Vimanapura,East Bangalore
20,Channasandra,North Bangalore
21,Hosahalli,West Bangalore
22,Basavanagar,North Bangalore
23,Kadubeesanahalli,East Bangalore
24,Sampangi Rama Nagara,Central Bangalore
25,Yadavanahalli,South Bangalore
26,Bhoganhalli,East Bangalore
27,Mandur,East Bangalore
28,Ulsoor,Central Bangalore
29,Kammasandra,South Bangalore
30,Seegehalli,North Bangalore
31,Chinnayanpalya,South Bangalore
32,Kyalasanahalli,North Bangalore
33,Sanjaynagar,North Bangalore
34,Budigere,East Bangalore
35,hongasandra bangalore,South Bangalore
36,Binnipete,Peripheral areas
37,Nandi Hills,Peripheral areas
38,Jayamahal,Central Bangalore
39,Rustam bagh Layout,West Bangalore
40,Chikkagubbi Village,East Bangalore
41,Jagajeevanram Nagar,West Bangalore
42,Sudhama Nagar,South Bangalore
43,Armane Nagar,Peripheral areas
44,Kadugodi,East Bangalore
45,Jagadenahalli,East Bangalore
46,Bellahalli,West Bangalore
47,Doddabanahalli,South Bangalore
48,Kanakapura Road Beyond Nice Ring Road,West Bangalore
49,Ejipura,East Bangalore
50,Rajarajeshwari Nagar,West Bangalore
51,Shanti Nagar,Central Bangalore
52,Huvinayakanahalli,East Bangalore
53,Navarathna Agrahara,Peripheral areas
54,Nagapura,Peripheral areas
55,Richards Town,West Bangalore
56,Nayandahalli,West Bangalore
57,Chikkadunnasandra,East Bangalore
58,Gummanahalli,East Bangalore
59,Dommasandra Village,East Bangalore
60,Singanayakanahalli,South Bangalore
61,Carmelaram,South Bangalore
62,Kacharakanahalli,South Bangalore
63,Seshadripuram,Central Bangalore
64,Parappana Agrahara,South Bangalore
65,Chinnapanna Halli,South Bangalore
66,Kammanahalli,North Bangalore
67,Palace Guttahalli,Central Bangalore
68,Doddakannelli,West Bangalore
69,Magadi,West Bangalore
70,Mavalli,South Bangalore
71,Basavanapura,South Bangalore
72,Kaval Bairasandra,East Bangalore
73,Bidare Agraha,Peripheral areas
74,Lalbagh Road,Central Bangalore
75,Bettadasanapura,South Bangalore
76,Harohalli,South Bangalore
77,kamakshipalya,East Bangalore
78,Hullahalli,West Bangalore
79,Shettigere,West Bangalore
80,Agrahara,Peripheral areas
81,Mahalakshmi Layout,West Bangalore
82,Domlur,East Bangalore
83,Langford Gardens,Peripheral areas
84,Pattandur Agrahara,South Bangalore
85,Chikkabanavara,West Bangalore
86,Bedarahalli,South Bangalore
87,Kacharakanahalli Hennur Main Road,West Bangalore
88,Tejaswini Nagar,North Bangalore
89,Choudadenahalli,East Bangalore
90,Kodipalya,South Bangalore
91,Thammenahalli Village,West Bangalore
92,Samethanahalli,North Bangalore
93,Machohalli,East Bangalore
94,Panduranga Nagar,West Bangalore
95,Domlur Layout,East Bangalore
96,Sanjay Nagar,North Bangalore
97,Bommenahalli,South Bangalore
98,Seegehalli Magadi Road,West Bangalore
99,Ramasandra,Peripheral areas
100,Srirampuram,Central Bangalore
101,Gudighattanahalli,West Bangalore
102,Bagalakunte,West Bangalore
103,Kuthaganahalli,East Bangalore
104,Mathikere,North Bangalore
105,Adugodi,South Bangalore
106,Hosuru,East Bangalore
107,Byagadadhenahalli,North Bangalore
108,Baliganapalli,West Bangalore
109,Udayagiri,Peripheral areas
110,Vakil Garden City,Peripheral areas
111,Cholur Palya,East Bangalore
112,HMT Housing Colony,Peripheral areas
113,Attiguppe,West Bangalore
114,Chikkajala,North Bangalore
115,Kachohalli,West Bangalore
116,Chikkasandra,Central Bangalore
117,Sivarampalli,South Bangalore
118,Munnekollal,North Bangalore
119,Kempapura Agrahara,North Bangalore
120,Class D Employees Housing Society Layout,Peripheral areas
121,Agrahara Layout,South Bangalore
122,Chikkabidarakallu,East Bangalore
123,Doddasanne,East Bangalore
124,Gnana Bharathi,Peripheral areas
125,Murugesh Palya,East Bangalore
126,Jalahalli East,West Bangalore
127,Mailasandra,South Bangalore
128,Chikkabana Halli,South Bangalore
129,Chansandra,Peripheral areas
130,Bikasipura,South Bangalore
131,Giddenahalli,East Bangalore
132,Halanayakanahalli,East Bangalore
133,Laggere,Peripheral areas
134,Kada Agrahara,South Bangalore
135,Dasarahalli,West Bangalore
136,Hesaraghatta,West Bangalore
137,Avalahalli,North Bangalore
138,Gollarapalya Hosahalli,East Bangalore
139,Ramanashree California Gardens Layout,West Bangalore
140,Lingarajpuram,East Bangalore
141,Hegganahalli,West Bangalore
142,Tirumanahalli,North Bangalore
143,Andrahalli,East Bangalore
144,Suradhenupura,Peripheral areas
145,byatarayanapura,West Bangalore
146,Jogupalya,South Bangalore
147,R T Nagar,North Bangalore
148,HAL,Peripheral areas
149,Nehru Nagar,South Bangalore
150,Mylasandra,Peripheral areas
151,Kommasandra,Peripheral areas
152,Hebbal Kempapura,North Bangalore
153,Lakeview Residency,Peripheral areas
154,Kambipura,Peripheral areas
155,Nagenahalli,South Bangalore
156,Devara Jeevanahalli,East Bangalore
157,Buragunte,Peripheral areas
158,Chikbanavara,West Bangalore
159,Arebannimangala,East Bangalore
160,Bikkanahalli,South Bangalore
161,V. Kallahalli,South Bangalore
162,Singapura,Peripheral areas
163,Aduru,Peripheral areas
164,Kasaba Hobli,Peripheral areas
165,Hosahalli Nice Ring Road,West Bangalore
166,Victoria Layout,West Bangalore
167,Bendre Nagar,Peripheral areas
168,Yelachanayakanapura,North Bangalore
169,Gandhi Nagar,Central Bangalore
170,Kaikondrahalli,South Bangalore
171,Sadashiva Nagar,West Bangalore
172,Sivanchetti Gardens,South Bangalore
173,KPC Layout,North Bangalore
174,Palace Road,Peripheral areas
175,Chowdasandra,East Bangalore
176,Thurahalli,West Bangalore
177,Vignana Kendra,Peripheral areas
178,Dandupalya,East Bangalore
179,Channanayakanapalya,West Bangalore
180,Thotada Guddadhalli Village,West Bangalore
181,Bettadasapura,South Bangalore
182,Sunkalpalya,East Bangalore
183,Kadabagere,East Bangalore
184,Gubbalala Main Road,South Bangalore
185,gubbalala,Peripheral areas
186,Madanayakahalli,West Bangalore
187,Harlur Road,East Bangalore
188,Coffee Board Layout,Peripheral areas
189,Ganga Nagar,North Bangalore
190,Ganganagar,West Bangalore
191,Ananda Nagar,Peripheral areas
192,Thubarahalli,West Bangalore
193,Kathriguppe Banashankari 3rd Stage,West Bangalore
194,Channasandra Layout,North Bangalore
195,Kanaka Nagar Main Road,West Bangalore
196,Byrathi in Hennur Road,West Bangalore
197,Bellary Road Hebbal Kempapura,North Bangalore
198,Pai Layout,North Bangalore
199,Doddakallasandra,South Bangalore
200,Sultan Palya,East Bangalore
201,AECS Layout Marathahalli,East Bangalore
202,Babusabpalya,South Bangalore
203,NR Colony,South Bangalore
204,Sadahalli,North Bangalore
